"county","indicator","Unit","Date","Value"
"Mombasa","Number of Households","Number","2019","378422"
"Mombasa","Average Household size","","2019","3"
"Changamwe","Number of Households","Number","2019","46614"
"Changamwe","Average Household size","","2019","3"
"Jomvu","Number of Households","Number","2019","53472"
"Jomvu","Average Household size","","2019","3"
"Kisauni","Number of Households","Number","2019","88202"
"Kisauni","Average Household size","","2019","3"
"Likoni","Number of Households","Number","2019","81191"
"Likoni","Average Household size","","2019","3"
"Mvita","Number of Households","Number","2019","38995"
"Mvita","Average Household size","","2019","4"
"Nyali","Number of Households","Number","2019","69948"
"Nyali","Average Household size","","2019","3"
"Kwale","Number of Households","Number","2019","173176"
"Kwale","Average Household size","","2019","5"
"Kinango","Number of Households","Number","2019","16043"
"Kinango","Average Household size","","2019","6"
"Lungalunga","Number of Households","Number","2019","37366"
"Lungalunga","Average Household size","","2019","5"
"Matuga","Number of Households","Number","2019","39231"
"Matuga","Average Household size","","2019","5"
"Msambweni","Number of Households","Number","2019","45466"
"Msambweni","Average Household size","","2019","4"
"Samburu-Kwale","Number of Households","Number","2019","35070"
"Samburu-Kwale","Average Household size","","2019","6"
"Kilifi","Number of Households","Number","2019","298472"
"Kilifi","Average Household size","","2019","5"
"Chonyi","Number of Households","Number","2019","11421"
"Chonyi","Average Household size","","2019","5"
"Ganze","Number of Households","Number","2019","23258"
"Ganze","Average Household size","","2019","6"
"Kaloleni","Number of Households","Number","2019","36355"
"Kaloleni","Average Household size","","2019","5"
"Kauma","Number of Households","Number","2019","3479"
"Kauma","Average Household size","","2019","6"
"Kilifi North","Number of Households","Number","2019","39512"
"Kilifi North","Average Household size","","2019","4"
"Kilifi South","Number of Households","Number","2019","53074"
"Kilifi South","Average Household size","","2019","4"
"Magarini","Number of Households","Number","2019","33017"
"Magarini","Average Household size","","2019","6"
"Lang'ata","Number of Households","Number","2019","62239"
"Lang'ata","Average Household size","","2019","3"
"Kibra","Number of Households","Number","2019","61690"
"Kibra","Average Household size","","2019","3"
"Makadara","Number of Households","Number","2019","70361"
"Makadara","Average Household size","","2019","3"
"Mathare","Number of Households","Number","2019","74967"
"Mathare","Average Household size","","2019","3"
"Nairobi City","Number of Households","Number","2019","1506888"
"Nairobi City","Average Household size","","2019","3"
"Dagoretti","Number of Households","Number","2019","155089"
"Dagoretti","Average Household size","","2019","3"
"Embakasi","Number of Households","Number","2019","347955"
"Embakasi","Average Household size","","2019","3"
"Kamukunji","Number of Households","Number","2019","84365"
"Kamukunji","Average Household size","","2019","3"
"Kasarani","Number of Households","Number","2019","271290"
"Kasarani","Average Household size","","2019","3"
"Njiru","Number of Households","Number","2019","204563"
"Njiru","Average Household size","","2019","3"
"Starehe","Number of Households","Number","2019","69389"
"Starehe","Average Household size","","2019","3"
"Westlands","Number of Households","Number","2019","104980"
